INDEX,TRACK ID,VALID,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,G-X,G-Y,G-Z
1,1,FIXED,2013/5/16,12:29:4,2013/5/16,13:29:4,400,51.792024,N,1.172063,W,107.433479,1.294223,83.162118,0.000000,0.000000,0.000000
2,1,FIXED,2013/5/16,12:29:4,2013/5/16,13:29:4,600,51.792159,N,1.170241,W,341.790802,2.449185,270.642098,0.000000,0.000000,0.000000
3,1,FIXED,2013/5/16,12:29:4,2013/5/16,13:29:4,800,51.792159,N,1.170353,W,327.760071,2.437618,264.047284,0.000000,0.000000,0.000000
4,1,FIXED,2013/5/16,12:29:5,2013/5/16,13:29:5,0,51.792140,N,1.170656,W,288.525177,2.131164,264.340346,0.000000,0.000000,0.000000
5,1,FIXED,2013/5/16,12:29:5,2013/5/16,13:29:5,200,51.792128,N,1.170843,W,264.422852,1.656227,262.441168,0.000000,0.000000,0.000000
6,1,FIXED,2013/5/16,12:29:5,2013/5/16,13:29:5,400,51.792122,N,1.170925,W,254.139984,1.313860,258.939675,0.000000,0.000000,0.000000
7,1,FIXED,2013/5/16,12:29:5,2013/5/16,13:29:5,600,51.792112,N,1.171004,W,244.120239,1.063484,238.903229,0.000000,0.000000,0.000000
8,1,FIXED,2013/5/16,12:29:5,2013/5/16,13:29:5,800,51.792099,N,1.171039,W,239.462692,0.736465,127.102606,0.000000,0.000000,0.000000
9,1,FIXED,2013/5/16,12:29:6,2013/5/16,13:29:6,0,51.792090,N,1.171018,W,242.024628,0.716074,165.389827,0.000000,0.000000,0.000000
10,1,FIXED,2013/5/16,12:29:6,2013/5/16,13:29:6,200,51.792082,N,1.171015,W,241.772110,1.021589,131.512236,0.000000,0.000000,0.000000
11,1,FIXED,2013/5/16,12:29:6,2013/5/16,13:29:6,400,51.792077,N,1.171007,W,243.044632,1.393601,260.512561,0.000000,0.000000,0.000000
12,1,FIXED,2013/5/16,12:29:6,2013/5/16,13:29:6,600,51.792074,N,1.171041,W,239.169861,2.212126,101.688825,0.000000,0.000000,0.000000
13,1,FIXED,2013/5/16,12:29:6,2013/5/16,13:29:6,800,51.792070,N,1.171012,W,243.187836,2.117079,213.121197,0.000000,0.000000,0.000000
14,1,FIXED,2013/5/16,12:29:7,2013/5/16,13:29:7,0,51.792067,N,1.171014,W,243.230835,2.022955,93.298946,0.000000,0.000000,0.000000
15,1,FIXED,2013/5/16,12:29:7,2013/5/16,13:29:7,200,51.792066,N,1.170988,W,246.601425,1.860928,91.055561,0.000000,0.000000,0.000000
16,1,FIXED,2013/5/16,12:29:7,2013/5/16,13:29:7,400,51.792066,N,1.170967,W,249.319672,1.760237,133.604020,0.000000,0.000000,0.000000
17,1,FIXED,2013/5/16,12:29:7,2013/5/16,13:29:7,600,51.792059,N,1.170955,W,251.477707,0.333542,91.531910,0.000000,0.000000,0.000000
18,1,FIXED,2013/5/16,12:29:7,2013/5/16,13:29:7,800,51.792059,N,1.170930,W,255.311661,0.270005,87.884805,0.000000,0.000000,0.000000
19,1,FIXED,2013/5/16,12:29:8,2013/5/16,13:29:8,0,51.792059,N,1.170898,W,259.977386,0.267494,76.010107,0.000000,0.000000,0.000000
20,1,FIXED,2013/5/16,12:29:8,2013/5/16,13:29:8,200,51.792060,N,1.170892,W,260.870483,0.218233,339.992840,0.000000,0.000000,0.000000
21,1,FIXED,2013/5/16,12:29:8,2013/5/16,13:29:8,400,51.792061,N,1.170892,W,261.110046,0.207443,280.467418,0.000000,0.000000,0.000000
22,1,FIXED,2013/5/16,12:29:8,2013/5/16,13:29:8,600,51.792062,N,1.170908,W,259.582733,0.208361,291.046505,0.000000,0.000000,0.000000
23,1,FIXED,2013/5/16,12:29:8,2013/5/16,13:29:8,800,51.792064,N,1.170915,W,259.023285,0.167308,79.898656,0.000000,0.000000,0.000000
24,1,FIXED,2013/5/16,12:29:9,2013/5/16,13:29:9,0,51.792066,N,1.170903,W,260.861481,0.196788,80.637173,0.000000,0.000000,0.000000
25,1,FIXED,2013/5/16,12:29:9,2013/5/16,13:29:9,200,51.792067,N,1.170887,W,263.149109,0.262879,92.372192,0.000000,0.000000,0.000000
26,1,FIXED,2013/5/16,12:29:9,2013/5/16,13:29:9,400,51.792067,N,1.170883,W,263.569855,0.117435,144.426240,0.000000,0.000000,0.000000
27,1,FIXED,2013/5/16,12:29:9,2013/5/16,13:29:9,600,51.792066,N,1.170882,W,263.652679,0.205556,202.302613,0.000000,0.000000,0.000000
28,1,FIXED,2013/5/16,12:29:9,2013/5/16,13:29:9,800,51.792064,N,1.170883,W,263.401123,0.171727,232.344292,0.000000,0.000000,0.000000
29,1,FIXED,2013/5/16,12:29:10,2013/5/16,13:29:10,0,51.792062,N,1.170889,W,262.521271,0.143044,252.798103,0.000000,0.000000,0.000000
30,1,FIXED,2013/5/16,12:29:10,2013/5/16,13:29:10,200,51.792060,N,1.170899,W,261.134338,0.081596,206.929416,0.000000,0.000000,0.000000
31,1,FIXED,2013/5/16,12:29:10,2013/5/16,13:29:10,400,51.792056,N,1.170902,W,260.596863,0.039244,252.730938,0.000000,0.000000,0.000000
32,1,FIXED,2013/5/16,12:29:10,2013/5/16,13:29:10,600,51.792049,N,1.170935,W,256.057495,0.086263,252.696906,0.000000,0.000000,0.000000
33,1,FIXED,2013/5/16,12:29:10,2013/5/16,13:29:10,800,51.792043,N,1.170969,W,251.494095,0.078487,253.703427,0.000000,0.000000,0.000000
34,1,FIXED,2013/5/16,12:29:11,2013/5/16,13:29:11,0,51.792040,N,1.170988,W,248.824326,0.023935,250.485334,0.000000,0.000000,0.000000
35,1,FIXED,2013/5/16,12:29:11,2013/5/16,13:29:11,200,51.792036,N,1.171001,W,247.077316,0.039240,253.755628,0.000000,0.000000,0.000000
36,1,FIXED,2013/5/16,12:29:11,2013/5/16,13:29:11,400,51.792033,N,1.171023,W,244.224564,0.073631,235.482940,0.000000,0.000000,0.000000
37,1,FIXED,2013/5/16,12:29:11,2013/5/16,13:29:11,600,51.792030,N,1.171029,W,243.480255,0.013431,251.170890,0.000000,0.000000,0.000000
38,1,FIXED,2013/5/16,12:29:11,2013/5/16,13:29:11,800,51.792029,N,1.171034,W,243.179626,0.063911,122.925146,0.000000,0.000000,0.000000
39,1,FIXED,2013/5/16,12:29:12,2013/5/16,13:29:12,0,51.792027,N,1.171029,W,244.053528,0.143602,248.929025,0.000000,0.000000,0.000000
40,1,FIXED,2013/5/16,12:29:12,2013/5/16,13:29:12,200,51.792026,N,1.171036,W,243.611450,0.054094,242.406692,0.000000,0.000000,0.000000
41,1,FIXED,2013/5/16,12:29:12,2013/5/16,13:29:12,400,51.792024,N,1.171040,W,243.465210,0.020069,207.817384,0.000000,0.000000,0.000000
42,1,FIXED,2013/5/16,12:29:12,2013/5/16,13:29:12,600,51.792024,N,1.171041,W,243.738159,0.075119,78.258073,0.000000,0.000000,0.000000
43,1,FIXED,2013/5/16,12:29:12,2013/5/16,13:29:12,800,51.792024,N,1.171035,W,244.967148,0.100877,44.571686,0.000000,0.000000,0.000000
44,1,FIXED,2013/5/16,12:29:13,2013/5/16,13:29:13,0,51.792025,N,1.171034,W,245.358414,0.101300,268.843546,0.000000,0.000000,0.000000
45,1,FIXED,2013/5/16,12:29:13,2013/5/16,13:29:13,200,51.792025,N,1.171040,W,244.942017,0.084022,128.018885,0.000000,0.000000,0.000000
46,1,FIXED,2013/5/16,12:29:13,2013/5/16,13:29:13,400,51.792025,N,1.171039,W,245.160980,0.002695,333.204751,0.000000,0.000000,0.000000
47,1,FIXED,2013/5/16,12:29:13,2013/5/16,13:29:13,600,51.792025,N,1.171039,W,245.401962,0.206742,253.895945,0.000000,0.000000,0.000000
48,1,FIXED,2013/5/16,12:29:13,2013/5/16,13:29:13,800,51.792025,N,1.171042,W,245.344284,0.099988,97.233498,0.000000,0.000000,0.000000
49,1,FIXED,2013/5/16,12:29:14,2013/5/16,13:29:14,0,51.792024,N,1.171035,W,246.520935,0.267167,100.132967,0.000000,0.000000,0.000000
50,1,FIXED,2013/5/16,12:29:14,2013/5/16,13:29:14,200,51.792023,N,1.171029,W,247.518814,0.238331,139.832755,0.000000,0.000000,0.000000
51,1,FIXED,2013/5/16,12:29:14,2013/5/16,13:29:14,400,51.792022,N,1.171027,W,247.831192,0.220074,231.134447,0.000000,0.000000,0.000000
52,1,FIXED,2013/5/16,12:29:14,2013/5/16,13:29:14,600,51.792021,N,1.171029,W,247.803879,0.201584,234.325385,0.000000,0.000000,0.000000
53,1,FIXED,2013/5/16,12:29:14,2013/5/16,13:29:14,800,51.792020,N,1.171031,W,247.667908,0.172366,259.202951,0.000000,0.000000,0.000000
54,1,FIXED,2013/5/16,12:29:15,2013/5/16,13:29:15,0,51.792018,N,1.171049,W,245.489487,0.159884,256.012306,0.000000,0.000000,0.000000
55,1,FIXED,2013/5/16,12:29:15,2013/5/16,13:29:15,200,51.792017,N,1.171059,W,244.200241,0.163186,95.000847,0.000000,0.000000,0.000000
56,1,FIXED,2013/5/16,12:29:17,2013/5/16,13:29:17,200,51.791972,N,1.170243,W,361.653961,1.252668,264.813400,0.000000,0.000000,0.000000
57,1,FIXED,2013/5/16,12:29:17,2013/5/16,13:29:17,400,51.791969,N,1.170298,W,354.722656,1.329234,28.225187,0.000000,0.000000,0.000000
58,1,FIXED,2013/5/16,12:29:17,2013/5/16,13:29:17,600,51.791977,N,1.170291,W,357.286621,1.297187,287.101175,0.000000,0.000000,0.000000
59,1,FIXED,2013/5/16,12:29:17,2013/5/16,13:29:17,800,51.791983,N,1.170322,W,353.535095,1.194223,260.746097,0.000000,0.000000,0.000000
60,1,FIXED,2013/5/16,12:29:18,2013/5/16,13:29:18,0,51.791977,N,1.170389,W,343.676117,0.876515,279.472782,0.000000,0.000000,0.000000
61,1,FIXED,2013/5/16,12:29:18,2013/5/16,13:29:18,200,51.791979,N,1.170413,W,341.190948,0.738806,252.992025,0.000000,0.000000,0.000000
62,1,FIXED,2013/5/16,12:29:18,2013/5/16,13:29:18,400,51.791975,N,1.170436,W,337.683105,0.170874,258.100763,0.000000,0.000000,0.000000
63,1,FIXED,2013/5/16,12:29:18,2013/5/16,13:29:18,600,51.791972,N,1.170454,W,334.559784,0.254995,268.303783,0.000000,0.000000,0.000000
64,1,FIXED,2013/5/16,12:29:18,2013/5/16,13:29:18,800,51.791972,N,1.170471,W,332.145752,0.136108,1.403149,0.000000,0.000000,0.000000
65,1,FIXED,2013/5/16,12:29:19,2013/5/16,13:29:19,0,51.791974,N,1.170471,W,332.446167,0.163748,106.543814,0.000000,0.000000,0.000000
66,1,FIXED,2013/5/16,12:29:19,2013/5/16,13:29:19,200,51.791972,N,1.170458,W,334.189087,0.072214,246.834273,0.000000,0.000000,0.000000
67,1,FIXED,2013/5/16,12:29:19,2013/5/16,13:29:19,400,51.791969,N,1.170471,W,331.939850,0.105848,249.418797,0.000000,0.000000,0.000000
68,1,FIXED,2013/5/16,12:29:19,2013/5/16,13:29:19,600,51.791966,N,1.170482,W,330.273071,0.095623,253.584895,0.000000,0.000000,0.000000
69,1,FIXED,2013/5/16,12:29:19,2013/5/16,13:29:19,800,51.791964,N,1.170495,W,328.395569,0.133629,242.418703,0.000000,0.000000,0.000000
70,1,FIXED,2013/5/16,12:29:20,2013/5/16,13:29:20,0,51.791959,N,1.170509,W,326.359283,0.039244,217.109442,0.000000,0.000000,0.000000
71,1,FIXED,2013/5/16,12:29:20,2013/5/16,13:29:20,200,51.791955,N,1.170514,W,325.700623,0.160681,105.155764,0.000000,0.000000,0.000000
72,1,FIXED,2013/5/16,12:29:20,2013/5/16,13:29:20,400,51.791951,N,1.170493,W,328.100983,0.147495,109.111127,0.000000,0.000000,0.000000
73,1,FIXED,2013/5/16,12:29:20,2013/5/16,13:29:20,600,51.791948,N,1.170476,W,330.141754,0.053566,91.318108,0.000000,0.000000,0.000000
74,1,FIXED,2013/5/16,12:29:20,2013/5/16,13:29:20,800,51.791947,N,1.170458,W,332.670349,0.104864,77.522539,0.000000,0.000000,0.000000
75,1,FIXED,2013/5/16,12:29:21,2013/5/16,13:29:21,0,51.791948,N,1.170451,W,333.788849,0.074198,290.381080,0.000000,0.000000,0.000000
76,1,FIXED,2013/5/16,12:29:21,2013/5/16,13:29:21,200,51.791949,N,1.170453,W,333.997986,0.155177,262.020483,0.000000,0.000000,0.000000
77,1,FIXED,2013/5/16,12:29:24,2013/5/16,13:29:24,200,51.791925,N,1.170732,W,260.757751,0.289962,86.195412,0.000000,0.000000,0.000000
78,1,FIXED,2013/5/16,12:29:24,2013/5/16,13:29:24,400,51.791925,N,1.170719,W,267.649261,0.376478,286.217859,0.000000,0.000000,0.000000
79,1,FIXED,2013/5/16,12:29:24,2013/5/16,13:29:24,600,51.791930,N,1.170746,W,268.117188,0.366437,305.937022,0.000000,0.000000,0.000000
80,1,FIXED,2013/5/16,12:29:24,2013/5/16,13:29:24,800,51.791935,N,1.170758,W,269.720490,0.395658,293.733867,0.000000,0.000000,0.000000
81,1,FIXED,2013/5/16,12:29:25,2013/5/16,13:29:25,0,51.791942,N,1.170781,W,269.473511,0.382673,289.377917,0.000000,0.000000,0.000000
82,1,FIXED,2013/5/16,12:29:25,2013/5/16,13:29:25,200,51.791953,N,1.170833,W,264.662964,0.401159,338.296695,0.000000,0.000000,0.000000
83,1,FIXED,2013/5/16,12:29:25,2013/5/16,13:29:25,400,51.791961,N,1.170838,W,265.501251,0.478216,90.651772,0.000000,0.000000,0.000000
84,1,FIXED,2013/5/16,12:29:25,2013/5/16,13:29:25,600,51.791961,N,1.170815,W,270.453705,0.191324,88.529749,0.000000,0.000000,0.000000
