INDEX,TRACK ID,VALID,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,G-X,G-Y,G-Z
1,1,FIXED,2013/6/2,10:18:20,2013/6/2,11:18:20,600,51.792133,N,1.171704,W,188.472290,0.145147,177.802727,0.000000,0.000000,0.000000
2,1,FIXED,2013/6/2,10:18:20,2013/6/2,11:18:20,800,51.792115,N,1.171703,W,187.171448,0.039032,127.035480,0.000000,0.000000,0.000000
3,1,FIXED,2013/6/2,10:18:21,2013/6/2,11:18:21,0,51.792111,N,1.171693,W,184.830688,0.163749,142.855588,0.000000,0.000000,0.000000
4,1,FIXED,2013/6/2,10:18:21,2013/6/2,11:18:21,200,51.792100,N,1.171681,W,181.517761,0.158070,152.491020,0.000000,0.000000,0.000000
5,1,FIXED,2013/6/2,10:18:21,2013/6/2,11:18:21,400,51.792094,N,1.171675,W,180.014450,0.074998,231.932102,0.000000,0.000000,0.000000
6,1,FIXED,2013/6/2,10:18:21,2013/6/2,11:18:21,600,51.792093,N,1.171677,W,179.421646,0.003702,324.364731,0.000000,0.000000,0.000000
7,1,FIXED,2013/6/2,10:18:21,2013/6/2,11:18:21,800,51.792094,N,1.171678,W,179.412064,0.044040,310.008769,0.000000,0.000000,0.000000
8,1,FIXED,2013/6/2,10:18:22,2013/6/2,11:18:22,0,51.792096,N,1.171681,W,179.566162,0.052833,190.941457,0.000000,0.000000,0.000000
9,1,FIXED,2013/6/2,10:18:22,2013/6/2,11:18:22,200,51.792094,N,1.171682,W,179.631363,0.076044,217.588114,0.000000,0.000000,0.000000
10,1,FIXED,2013/6/2,10:18:22,2013/6/2,11:18:22,400,51.792094,N,1.171683,W,179.796463,0.066064,141.365904,0.000000,0.000000,0.000000
11,1,FIXED,2013/6/2,10:18:22,2013/6/2,11:18:22,600,51.792093,N,1.171682,W,179.573975,0.057951,168.792726,0.000000,0.000000,0.000000
12,1,FIXED,2013/6/2,10:18:22,2013/6/2,11:18:22,800,51.792090,N,1.171681,W,179.178619,0.045273,171.591154,0.000000,0.000000,0.000000
13,1,FIXED,2013/6/2,10:18:23,2013/6/2,11:18:23,0,51.792086,N,1.171680,W,179.411377,0.044319,125.548197,0.000000,0.000000,0.000000
14,1,FIXED,2013/6/2,10:18:23,2013/6/2,11:18:23,200,51.792086,N,1.171679,W,179.352249,0.035370,156.984376,0.000000,0.000000,0.000000
15,1,FIXED,2013/6/2,10:18:23,2013/6/2,11:18:23,400,51.792084,N,1.171678,W,178.932785,0.028311,100.591816,0.000000,0.000000,0.000000
16,1,FIXED,2013/6/2,10:18:23,2013/6/2,11:18:23,600,51.792084,N,1.171676,W,178.758377,0.036853,345.700981,0.000000,0.000000,0.000000
17,1,FIXED,2013/6/2,10:18:23,2013/6/2,11:18:23,800,51.792085,N,1.171677,W,178.813293,0.032873,24.624569,0.000000,0.000000,0.000000
18,1,FIXED,2013/6/2,10:18:24,2013/6/2,11:18:24,0,51.792087,N,1.171676,W,178.706955,0.029945,342.247704,0.000000,0.000000,0.000000
19,1,FIXED,2013/6/2,10:18:24,2013/6/2,11:18:24,200,51.792088,N,1.171677,W,178.746536,0.097069,266.250813,0.000000,0.000000,0.000000
20,1,FIXED,2013/6/2,10:18:24,2013/6/2,11:18:24,400,51.792088,N,1.171677,W,179.012238,0.049821,179.896234,0.000000,0.000000,0.000000
21,1,FIXED,2013/6/2,10:18:24,2013/6/2,11:18:24,600,51.792087,N,1.171677,W,179.116486,0.042961,219.180762,0.000000,0.000000,0.000000
22,1,FIXED,2013/6/2,10:18:24,2013/6/2,11:18:24,800,51.792086,N,1.171678,W,179.599670,0.071837,256.381492,0.000000,0.000000,0.000000
23,1,FIXED,2013/6/2,10:18:25,2013/6/2,11:18:25,0,51.792086,N,1.171681,W,180.262497,0.049206,252.900218,0.000000,0.000000,0.000000
24,1,FIXED,2013/6/2,10:18:25,2013/6/2,11:18:25,200,51.792085,N,1.171684,W,180.577866,0.127337,178.399363,0.000000,0.000000,0.000000
25,1,FIXED,2013/6/2,10:18:25,2013/6/2,11:18:25,400,51.792084,N,1.171684,W,180.647903,0.300633,183.950984,0.000000,0.000000,0.000000
26,1,FIXED,2013/6/2,10:18:25,2013/6/2,11:18:25,600,51.792082,N,1.171684,W,180.817444,0.283762,331.683624,0.000000,0.000000,0.000000
27,1,FIXED,2013/6/2,10:18:25,2013/6/2,11:18:25,800,51.792083,N,1.171684,W,181.337219,0.280220,8.083327,0.000000,0.000000,0.000000
28,1,FIXED,2013/6/2,10:18:26,2013/6/2,11:18:26,0,51.792084,N,1.171684,W,181.749710,0.262708,343.261449,0.000000,0.000000,0.000000
29,1,FIXED,2013/6/2,10:18:26,2013/6/2,11:18:26,200,51.792085,N,1.171685,W,182.216721,0.281399,256.625983,0.000000,0.000000,0.000000
30,1,FIXED,2013/6/2,10:18:26,2013/6/2,11:18:26,400,51.792085,N,1.171686,W,182.395523,0.047779,352.772634,0.000000,0.000000,0.000000
31,1,FIXED,2013/6/2,10:18:26,2013/6/2,11:18:26,600,51.792087,N,1.171686,W,182.514297,0.184448,168.914958,0.000000,0.000000,0.000000
32,1,FIXED,2013/6/2,10:18:26,2013/6/2,11:18:26,800,51.792086,N,1.171686,W,182.393921,0.229814,191.433611,0.000000,0.000000,0.000000
33,1,FIXED,2013/6/2,10:18:27,2013/6/2,11:18:27,0,51.792084,N,1.171686,W,182.335526,0.173687,222.069789,0.000000,0.000000,0.000000
34,1,FIXED,2013/6/2,10:18:27,2013/6/2,11:18:27,200,51.792084,N,1.171687,W,182.225983,0.110448,195.324613,0.000000,0.000000,0.000000
35,1,FIXED,2013/6/2,10:18:27,2013/6/2,11:18:27,400,51.792081,N,1.171688,W,181.896820,0.011440,48.415680,0.000000,0.000000,0.000000
36,1,FIXED,2013/6/2,10:18:27,2013/6/2,11:18:27,600,51.792082,N,1.171687,W,181.714798,0.120544,28.853105,0.000000,0.000000,0.000000
37,1,FIXED,2013/6/2,10:18:27,2013/6/2,11:18:27,800,51.792083,N,1.171686,W,181.564468,0.126486,61.703545,0.000000,0.000000,0.000000
38,1,FIXED,2013/6/2,10:18:28,2013/6/2,11:18:28,0,51.792083,N,1.171686,W,181.410690,0.029126,335.644691,0.000000,0.000000,0.000000
