INDEX,TRACK ID,VALID,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,G-X,G-Y,G-Z
1,1,FIXED,2013/5/25,10:12:35,2013/5/25,11:12:35,600,51.791979,N,1.171732,W,179.371475,1.105156,6.996758,0.000000,0.000000,0.000000
2,1,FIXED,2013/5/25,10:12:35,2013/5/25,11:12:35,800,51.792028,N,1.171723,W,181.754242,1.348360,238.028701,0.000000,0.000000,0.000000
3,1,FIXED,2013/5/25,10:12:36,2013/5/25,11:12:36,0,51.792026,N,1.171728,W,181.884766,0.888957,12.074041,0.000000,0.000000,0.000000
4,1,FIXED,2013/5/25,10:12:36,2013/5/25,11:12:36,200,51.792046,N,1.171722,W,182.542343,0.321548,347.265426,0.000000,0.000000,0.000000
5,1,FIXED,2013/5/25,10:12:36,2013/5/25,11:12:36,400,51.792055,N,1.171725,W,183.181671,0.207476,295.114287,0.000000,0.000000,0.000000
6,1,FIXED,2013/5/25,10:12:36,2013/5/25,11:12:36,600,51.792057,N,1.171730,W,183.651123,0.245680,15.454723,0.000000,0.000000,0.000000
7,1,FIXED,2013/5/25,10:12:36,2013/5/25,11:12:36,800,51.792063,N,1.171727,W,184.202820,0.225549,7.504104,0.000000,0.000000,0.000000
8,1,FIXED,2013/5/25,10:12:37,2013/5/25,11:12:37,0,51.792068,N,1.171726,W,184.521088,0.325532,16.668295,0.000000,0.000000,0.000000
9,1,FIXED,2013/5/25,10:12:37,2013/5/25,11:12:37,200,51.792071,N,1.171725,W,184.767365,0.328136,359.164215,0.000000,0.000000,0.000000
10,1,FIXED,2013/5/25,10:12:37,2013/5/25,11:12:37,400,51.792082,N,1.171725,W,185.179504,0.268256,246.688296,0.000000,0.000000,0.000000
11,1,FIXED,2013/5/25,10:12:37,2013/5/25,11:12:37,600,51.792081,N,1.171730,W,185.489731,0.191362,220.247109,0.000000,0.000000,0.000000
12,1,FIXED,2013/5/25,10:12:37,2013/5/25,11:12:37,800,51.792075,N,1.171738,W,185.963242,0.188588,204.220646,0.000000,0.000000,0.000000
13,1,FIXED,2013/5/25,10:12:38,2013/5/25,11:12:38,0,51.792071,N,1.171741,W,186.103043,0.220482,212.771896,0.000000,0.000000,0.000000
14,1,FIXED,2013/5/25,10:12:38,2013/5/25,11:12:38,200,51.792066,N,1.171746,W,186.123871,0.230835,202.417547,0.000000,0.000000,0.000000
15,1,FIXED,2013/5/25,10:12:38,2013/5/25,11:12:38,400,51.792064,N,1.171747,W,186.037521,0.282068,200.211407,0.000000,0.000000,0.000000
