INDEX,TRACK ID,VALID,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,G-X,G-Y,G-Z
1,1,FIXED,2013/6/2,10:18:2,2013/6/2,11:18:2,400,51.791915,N,1.171695,W,162.040298,1.011353,321.182694,0.000000,0.000000,0.000000
2,1,FIXED,2013/6/2,10:18:2,2013/6/2,11:18:2,600,51.791928,N,1.171712,W,162.587845,0.730137,356.885440,0.000000,0.000000,0.000000
3,1,FIXED,2013/6/2,10:18:2,2013/6/2,11:18:2,800,51.791961,N,1.171715,W,166.408844,0.616501,342.318259,0.000000,0.000000,0.000000
4,1,FIXED,2013/6/2,10:18:3,2013/6/2,11:18:3,0,51.791966,N,1.171718,W,168.145401,0.475457,9.022023,0.000000,0.000000,0.000000
5,1,FIXED,2013/6/2,10:18:3,2013/6/2,11:18:3,200,51.791973,N,1.171716,W,167.965317,0.425341,43.658471,0.000000,0.000000,0.000000
6,1,FIXED,2013/6/2,10:18:3,2013/6/2,11:18:3,400,51.791981,N,1.171704,W,167.005142,0.116344,358.121527,0.000000,0.000000,0.000000
7,1,FIXED,2013/6/2,10:18:3,2013/6/2,11:18:3,600,51.791985,N,1.171704,W,167.746796,0.059443,42.038540,0.000000,0.000000,0.000000
8,1,FIXED,2013/6/2,10:18:3,2013/6/2,11:18:3,800,51.791987,N,1.171702,W,167.295395,0.098896,317.651056,0.000000,0.000000,0.000000
9,1,FIXED,2013/6/2,10:18:4,2013/6/2,11:18:4,0,51.791989,N,1.171704,W,167.326416,0.158083,339.607029,0.000000,0.000000,0.000000
10,1,FIXED,2013/6/2,10:18:4,2013/6/2,11:18:4,200,51.791990,N,1.171705,W,166.561966,0.283393,18.113581,0.000000,0.000000,0.000000
11,1,FIXED,2013/6/2,10:18:4,2013/6/2,11:18:4,400,51.791993,N,1.171704,W,166.019485,0.283710,317.624731,0.000000,0.000000,0.000000
12,1,FIXED,2013/6/2,10:18:4,2013/6/2,11:18:4,600,51.791994,N,1.171706,W,166.568115,0.232012,305.442959,0.000000,0.000000,0.000000
13,1,FIXED,2013/6/2,10:18:4,2013/6/2,11:18:4,800,51.791995,N,1.171708,W,166.773453,0.238496,348.974735,0.000000,0.000000,0.000000
14,1,FIXED,2013/6/2,10:18:5,2013/6/2,11:18:5,0,51.791996,N,1.171708,W,166.640320,0.265607,161.892675,0.000000,0.000000,0.000000
15,1,FIXED,2013/6/2,10:18:5,2013/6/2,11:18:5,200,51.791995,N,1.171708,W,166.419739,0.262945,150.864472,0.000000,0.000000,0.000000
16,1,FIXED,2013/6/2,10:18:5,2013/6/2,11:18:5,400,51.791994,N,1.171707,W,166.173126,0.260101,46.720798,0.000000,0.000000,0.000000
17,1,FIXED,2013/6/2,10:18:5,2013/6/2,11:18:5,600,51.791994,N,1.171705,W,166.092331,0.242610,11.965004,0.000000,0.000000,0.000000
18,1,FIXED,2013/6/2,10:18:5,2013/6/2,11:18:5,800,51.791997,N,1.171704,W,166.356033,0.260319,2.187185,0.000000,0.000000,0.000000
19,1,FIXED,2013/6/2,10:18:6,2013/6/2,11:18:6,0,51.792000,N,1.171704,W,166.554108,0.282183,332.050076,0.000000,0.000000,0.000000
